# Merges both primary and alternate PETSCII character sets into
# a single character set with minimal changes in character codes.
#
# Primary $00 - $1F -> U8/M 0x00 - 0x1F (control codes)
# Primary $20 - $3F -> U8/M 0x20 - 0x3F
# Primary $40 - $5F -> U8/M 0x40 - 0x5F
# Primary $60 - $7F -> U8/M 0x60 - 0x7F
# Primary $80 - $9F -> U8/M 0x80 - 0x9F (control codes)
# Primary $A0 - $BF -> U8/M 0xA0 - 0xBF
# Primary $C0 - $DF -> U8/M 0x60 - 0x7F
# Primary $E0 - $FF -> U8/M 0xA0 - 0xBF
#
# Altern. $00 - $1F -> U8/M 0x00 - 0x1F (control codes)
# Altern. $20 - $3F -> U8/M 0x20 - 0x3F
# Altern. $40 - $5F -> U8/M 0xC0 - 0xDF except $5E -> 0x5E and $5F -> 0x5F
# Altern. $60 - $7F -> U8/M 0xE0 - 0xFF
# Altern. $80 - $9F -> U8/M 0x80 - 0x9F (control codes)
# Altern. $A0 - $BF -> U8/M 0xA0 - 0xBF except $A9 -> 0xDE and $BA -> 0xDF
# Altern. $C0 - $DF -> U8/M 0xE0 - 0xFF
# Altern. $E0 - $FF -> U8/M 0xA0 - 0xBF except $E9 -> 0xDE and $FA -> 0xDF


# Primary $20 - $3F
# Alternate $20 - $3F
0x20	0x0020	# SPACE
0x21	0x0021	# EXCLAMATION MARK
0x22	0x0022	# QUOTATION MARK
0x23	0x0023	# NUMBER SIGN
0x24	0x0024	# DOLLAR SIGN
0x25	0x0025	# PERCENT SIGN
0x26	0x0026	# AMPERSAND
0x27	0x0027	# APOSTROPHE
0x28	0x0028	# LEFT PARENTHESIS
0x29	0x0029	# RIGHT PARENTHESIS
0x2A	0x002A	# ASTERISK
0x2B	0x002B	# PLUS SIGN
0x2C	0x002C	# COMMA
0x2D	0x002D	# HYPHEN-MINUS
0x2E	0x002E	# FULL STOP
0x2F	0x002F	# SOLIDUS
0x30	0x0030	# DIGIT ZERO
0x31	0x0031	# DIGIT ONE
0x32	0x0032	# DIGIT TWO
0x33	0x0033	# DIGIT THREE
0x34	0x0034	# DIGIT FOUR
0x35	0x0035	# DIGIT FIVE
0x36	0x0036	# DIGIT SIX
0x37	0x0037	# DIGIT SEVEN
0x38	0x0038	# DIGIT EIGHT
0x39	0x0039	# DIGIT NINE
0x3A	0x003A	# COLON
0x3B	0x003B	# SEMICOLON
0x3C	0x003C	# LESS-THAN SIGN
0x3D	0x003D	# EQUALS SIGN
0x3E	0x003E	# GREATER-THAN SIGN
0x3F	0x003F	# QUESTION MARK

# Primary $40 - $5F
0x40	0x0040	# COMMERCIAL AT
